127.0.0.1 - - [08/Dec/2023:10:36:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:36:05 +0530] "GET /Login_Page/login.html HTTP/1.1" 200 3638
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:36:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:36:46 +0530] "GET /Login_Page/login.html HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:37:28 +0530] "GET /Login_Page/login.html HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:37:33 +0530] "GET /Login_Page/SetOTP.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:37:33 +0530] "GET /Login_Page/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:37:45 +0530] "POST /resetPassword HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:39:01 +0530] "GET /Login_Page/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:39:03 +0530] "GET /Login_Page/SetOTP.html HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:39:03 +0530] "GET /Login_Page/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:39:22 +0530] "POST /Login_Page/resetPassword HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:39:22 +0530] "GET /Login_Page/resetConfirmation.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:02:54 +0530] "GET /Login_Page/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:02:57 +0530] "GET /Login_Page/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:03:00 +0530] "GET /Login_Page/SetOTP.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:03:00 +0530] "GET /Login_Page/styles.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:03:11 +0530] "POST /Login_Page/resetPassword HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:03:11 +0530] "GET /Login_Page/setPassword.html HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [08/Dec/2023:11:03:37 +0530] "POST /Login_Page/submit_new_password HTTP/1.1" 404 785
